Chromosome	Syntenic_Gene_Count
AT2	1660
AT6	1528
AT4	1313
AT3	1090
AT5	1015
CU160	374
CU87	272
CU148	268
CU142	206
CU130	192
CU155	192
CU31	190
CU18	171
CU28	146
CU103	144
CU68	143
CU143	138
CU6	138
CU115	131
CU10	130
CU140	125
CU90	125
CU161	118
CU54	117
CU16	108
CU144	107
CU33	100
CU49	100
CU104	91
CU82	90
CU67	84
CU3	77
CU42	73
CU117	72
CU112	70
CU22	68
CU136	57
CU110	56
CU89	56
CU20	48
CU21	43
CU81	40
CU118	38
CU141	37
CU85	37
CU26	35
CU153	33
CU79	33
CU98	32
CU151	31
CU35	28
CU92	27
CU17	26
CU88	26
CU64	25
CU12	21
CU25	18
CU37	18
CU133	17
CU72	16
RO7317	16
CU36	16
CU126	15
CU78	15
RO5834	15
CU106	14
CU114	13
CU96	13
RO7060	13
RO7331	12
CU108	11
CU34	11
RO6105	11
RO6836	11
RO6963	11
CU24	10
RO7017	10
RO6842	10
RO6839	9
RO28	9
CU107	9
RO6663	9
RO7283	8
RO6987	8
RO7201	8
RO6784	8
RO6752	8
RO7162	8
RO5293	7
RO5457	7
RO6072	7
RO7245	7
RO6505	7
RO6733	7
RO5607	7
CU113	7
RO4916	7
RO5608	7
RO6019	7
RO6294	7
RO6439	7
RO6954	7
RO6561	7
RO6122	7
RO6753	7
RO4671	7
RO6622	7
RO6040	6
RO6386	6
RO6597	6
RO7176	6
RO6258	6
RO6988	6
CU45	6
RO5139	6
RO5496	6
RO5957	6
RO6332	6
RO6476	6
RO6504	6
RO6813	6
RO4851	6
RO5685	6
RO5997	6
RO6200	6
RO6536	6
RO7059	6
RO7073	6
CU75	6
RO3743	6
RO5738	6
RO6530	6
RO6531	6
RO6908	6
RO7320	6
RO7334	6
RO7383	6
RO7384	6
RO7431	6
RO5938	6
RO4058	6
RO5339	6
RO5350	6
RO6438	6
RO7240	6
RO6923	6
RO7228	6
RO6045	6
RO6956	6
RO7233	6
RO6151	6
RO4637	6
RO5961	6
RO5993	6
RO5667	6
RO6224	6
RO6321	6
